Location,Period,Kitchen,Dish_Name,Description,Portion_Size,Ingredients,Calories,Protein (g),Total Carbohydrates (g),Sugar (g),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Dietary Fiber (g),Sodium (mg),Potassium (mg),Calcium (mg),Iron (mg),Trans Fat (g),Vitamin D (IU),Vitamin C (mg),Calories From Fat,Vitamin A (RE),Saturated Fat + Trans Fat (g),Allergens
IV,Lunch,GLOBAL BOWLS,Kalamata Olives,,1 ounce,Kalamata Olives,40,0,1,0,4.5,0.5,0,0.0,440,10,10,0.1,0,0,0,40,0.0,0,"Vegan, Vegetarian, Avoiding Gluten"
IV,Lunch,GLOBAL BOWLS,Chick Peas,,1 ounce,"Chick peas (Chick Peas, Water, Salt, Mustard, Calcium Chloride, Disodium EDTA)",45,3,8,1,0.5,0,0,2,70,80,10,0.8,0,0,0,5,0.0,0,"Vegan, Vegetarian, Avoiding Gluten, How Good Friendly"
IV,Lunch,GLOBAL BOWLS,Fresh Chopped Celery,,1 ounce,Celery,0,0,0.0,0,0,0,0,0,25,70,10,0.1,0,0,1,0,0.0,0,"Vegan, Vegetarian, Avoiding Gluten, Celery"
IV,Lunch,GLOBAL BOWLS,Dark Red Kidney Beans,,1 ounce,Kidney Beans,25,1,4,0.0,0,0,0,2,35,70,10,0.4,0,0,0,0,0.0,0,"Vegan, Vegetarian, Avoiding Gluten"
IV,Lunch,GLOBAL BOWLS,Shredded Cheddar Cheese,,1 ounce,Cheddar Cheese,110,6,0.0,0,9,5,30,0,190,20,200,0,0.0,5,0,80,0.0,5,"Vegetarian, Avoiding Gluten, Milk"
IV,Lunch,GLOBAL BOWLS,Seasoned Grilled Chicken,A simple preparation for chicken,3 ounce,"Chicken, Canola Oil, Salt, Black Pepper",110,16,0,0,5,0.5,50,0,260,250,0,0.4,0,0,0,45,5,0,"Avoiding Gluten, Good Source of Protein, Poultry"
IV,Lunch,GLOBAL BOWLS,Shredded Parmesan Cheese,,1 ounce,Parmesan Cheese,120,11,0.0,0,8,5,20,0,480,30,360,0.2,0.0,5,0,70,0.0,5,"Vegetarian, Avoiding Gluten, Milk"
IV,Lunch,GLOBAL BOWLS,Cubed Tofu,,1 ounce,Tofu,20,2,0.0,0,1.5,0,0,0,0,30,100,1.5,0,0,0,10,0.0,0,"Vegan, Vegetarian, Avoiding Gluten, Soy"
IV,Lunch,GLOBAL BOWLS,Crumbled Feta Cheese,,1 ounce,Feta Cheese,80,4,1,0,6,4,25,0,320,20,140,0.2,0.0,5,0,50,0.0,5,"Vegetarian, Avoiding Gluten, Milk"
IV,Lunch,GLOBAL BOWLS,Hard Boiled Egg,,1 each,Egg,70,6,0,0,4.5,1.5,165,0,55,60,20,0.5,0.0,40,0,40,0.0,0,"Vegetarian, Avoiding Gluten, Egg"
