Kitchen,Dish Name,Description,Portion,Ingredients,Calories,Protein (g),Total Carbohydrates (g),Sugar (g),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Dietary Fiber (g),Sodium (mg),Potassium (mg),Calcium (mg),Iron (mg),Trans Fat (g),Vitamin D (IU),Vitamin C (mg),Calories From Fat,Vitamin A (RE),Saturated Fat + Trans Fat (g),Allergens
LET'S TOAST,Yellow Mustard,,1 tbsp,Yellow Mustard,10,less than 1 gram,less than 1 gram,0,0.5,0,0,less than 1 gram,170,20,10,0.3,0,0,0,0,-,0,"Garlic, Mustard"
LET'S TOAST,Olive Oil,,1 floz,Olive Oil,240,0,0,0,27,3.5,0,0,0,0,0,0.2,-,0,0,240,-,5+,
LET'S TOAST,Red Wine Vinegar,,1 floz,Red Wine Vinegar,5,0,0,0,0,0,-,0,0,10,0,0.1,0,-,0,0,-,0,Sulphites
LET'S TOAST,White Bread,,1 slice,White Bread,80,3,15,1,1,0,0,less than 1 gram,130,30,30,1,0,0,-,5,-,0,"Gluten, Wheat, Soy, Egg*, Milk*, Sesame*"
LET'S TOAST,Whole Wheat Bread,,1 slice,Whole Wheat Bread,110,4,21,3,2,0,0,3,170,100,40,0.9,0,0,-,20,-,0,"Gluten, Wheat, Soy, Milk*, Tree Nuts*"
LET'S TOAST,Kaiser Roll,,1 each,Kaiser Roll,240,7,43,3,4.5,0,0,1,410,90,70,2,0,0,-,40,-,0,"Gluten, Wheat, Egg"
LET'S TOAST,Hoagie Roll,,1 each,Hoagie Roll,200,6,36,0,3,0.5,0,2,410,80,60,1.9,-,0,0,25,-,0+,"Gluten, Wheat, Soy"
LET'S TOAST,"10"" Flour Tortilla",,1 each,Flour Tortilla,200,6,34,1,6,3,0,1,400,50,80,2,0,0,-,50,-,5,"Gluten, Wheat, Sulphites"
LET'S TOAST,"12"" Spinach Herb Tortilla",,1 each,Spinach Herb Tortilla,290,8,47,0,8,4,0,2,640,80,120,3,0,0,-,70,-,5,"Gluten, Wheat, Onion, Garlic"
LET'S TOAST,"12"" Tomato Basil Flour Tortilla",,1 each,Tomato Basil Tortilla,300,9,47,0,9,4,0,2,620,80,120,3,0,0,-,80,-,5,"Gluten, Wheat, Onion, Tomato, Garlic"
LET'S TOAST,Homemade Potato Chips,Fresh Fried Potato Chips,4 ounce,Potato Chips,370,2,21,less than 1 gram,30,3.5,0,2,260,360,10,0.7,0,0+,0+,270,-,5+,Soy
